Geneid	gene_name	product	interaction_log2FC	interaction_padj	NK01067_log2FC	NK01067_padj	dwbbM_log2FC	dwbbM_padj
M8Y62_12960	M8Y62_12960	diaminobutyrate--2-oxoglutarate transaminase	-2.7232328438952	9.96915634838084e-20	2.38383810038616	2.22639454563154e-20	-0.34355108212638	0.0337787350877946
M8Y62_14015	M8Y62_14015	hypothetical protein	2.26850119720184	1.41564035974301e-19	-0.666177901580424	0.00283440697747603	1.59883209838582	3.19764222625324e-25
M8Y62_23640	hflX	GTPase HflX	-1.05246236420278	1.73811212242792e-19	1.56225652384494	8.34327921839719e-46	0.506569019958146	6.34569406280278e-06
M8Y62_19285	lysS	lysine--tRNA ligase	2.05613588002176	4.22856857106065e-19	-2.80885835939219	1.58913373391263e-43	-0.757562989897877	3.63368361298271e-11
M8Y62_16245	yceD	23S rRNA accumulation protein YceD	1.49424489572719	6.34360214590083e-19	-0.621441317633474	1.60993617157014e-07	0.868955059116434	1.57726461427086e-10
M8Y62_09040	clbF	colibactin biosynthesis dehydrogenase ClbF	2.55531886261948	6.6127616093436e-19	-2.50209149068768	1.36816621891977e-52	0.0486532758232699	0.840386715488857
M8Y62_19570	M8Y62_19570	co-chaperone YbbN	-1.81648121511652	1.35246408123294e-18	0.800143663860702	2.93312900158883e-06	-1.01905076329897	4.98441362648816e-11
M8Y62_01280	prlC	oligopeptidase A	-1.49975686813783	2.47609075239056e-18	0.139901437390432	0.405879168017513	-1.36289277182239	3.35875902710469e-30
M8Y62_11270	M8Y62_11270	substrate-binding domain-containing protein	-2.85471337041025	2.47609075239056e-18	2.91795849109394	1.53253479005967e-25	0.0554394901096093	0.837665904484475
M8Y62_18635	M8Y62_18635	type II toxin-antitoxin system RelE/ParE family toxin	2.10453542952211	2.47609075239056e-18	-2.14555582456631	1.99419037912441e-40	-0.0442122730467757	0.854928077955264
M8Y62_18970	M8Y62_18970	MBL fold metallo-hydrolase	-3.48883590678566	4.27017560702457e-18	4.73001609142236	1.17847563727509e-72	1.23964961733628	0.000914182601916411
M8Y62_21795	carB	carbamoyl-phosphate synthase large subunit	-1.77052895236838	4.7396276842723e-18	2.69572088351689	2.23423708704098e-60	0.923077364435263	3.43288241558911e-09
